ID,Nombre,Estado,Longitud,Latitud
NA,Piedra los Veganos,Malo,-70.47173130635412,18.819948824444733
NA,Hatillo,Malo,-70.252830819442,18.94744770116959
NA,Arroyón Arriba,Malo,-70.52827220288945,18.859719073064994
NA,Arroyón Abajo,Malo,-70.5235354186187,18.860661432146998
NA,Jeremías,Malo,-70.48596932613987,19.2255368675608
NA,Jamo,Malo,-70.48885107788547,19.2286757322059
NA,Cañabón,Malo,-70.41887176606333,19.05394542924834
NA,Cevicos,Malo,-69.98432192608104,19.006170137161302
NA,Sabana Grande,Malo,-70.06621212088187,19.035536367220256
NA,Jayaco,Malo,-70.43936202934405,19.00589914067723
NA,Blanco,Malo,-70.36809952864644,18.88716896472218
NA,Naranjal,Malo,-70.5144970206696,19.328301352872437
NA,Maimón,Malo,-70.28490290812165,18.89937381116969
NA,Los Guázaros,Malo,-70.52257011565852,18.858862274851766
NA,El Meche,Malo,-70.5329104474626,18.847935105374006
NA,Rincón de Yuboa,Malo,-70.36156662148514,18.783305080876058
NA,Los Quemados,Malo,-70.47313983382323,18.87915605897389
NA,Bonao,Malo,-70.40762188134721,18.95915866888985
NA,Los Corosos,Malo,-70.20088697823324,19.054959660633898
NA,La Jagua,Malo,-69.70796267474671,19.148819379694995
185003,La Bija,Malo,-70.12723441856889,19.14948209737619
185001,Bayacanes,Malo,-70.5815320783857,19.235650502864477
185501,"Cenoví, Los Limones",Malo,-70.34905634302483,19.31966170458696
184003,El pino de Yuna,Malo,-70.2972259521484,18.8947219848633
187002,Abadesa,Malo,-69.9264283995321,19.01863264960775
184002,Los Plátanos,Malo,-70.1122849327979,19.122139266697815
185002,Ranchito,Malo,-70.38871644220741,19.175078514058782
188002,Los Tres Pasos,Malo,-70.0787913797197,18.976401350875328
188008,La Cabirma,Malo,-70.1152162397556,18.97470361565409
183101,Pinalito,Malo,-70.28922984837727,18.896614978980043
NA,La Boca,Regular,-70.30209329910095,19.245775809518932
185603,Jaya,Regular,-70.3024978637695,19.2455558776855
185201,Rincón,Regular,-70.40695098740946,19.10508700296321
180003,Villa Riva,Regular,-69.90444265628129,19.17439869879099
180004,El Limón,Regular,-69.81921031277749,19.15301112893035
42301,BAIGUAQUEPILONES LOS,Bueno,-70.8794479370117,19.3488883972168
42301,BAIGUAQUEPILONES LOS,Bueno,-70.8794479370117,19.3488883972168
NA,Sabana Alta,Bueno,NA,NA
