Nombre,Estado,entidad,tipo,propiedad,Longtiud,Latitud
San Rafael,inactiva o no reportada,INDRHI,hidrométrica,pública,-71.14116132376083,18.03041559155058
Paso al Medio,inactiva o no reportada,INDRHI,hidrométrica,pública,-69.1719311140077,18.567418126607066
Santa Cruz,activa o bueno,INDRHI,hidrométrica,pública,-71.52177174741806,19.623858930420955
Puente Guayubin,activa o bueno,INDRHI,hidrométrica,pública,-71.39815737946486,19.66163346527382
Sabaneta,activa o bueno,INDRHI,hidrométrica,pública,-70.97864295151084,19.545651936966415
La Fortaleza,activa o bueno,INDRHI,hidrométrica,pública,-70.83343833688609,19.04703088785951
Puente San Rafael,activa o bueno,INDRHI,hidrométrica,pública,-71.05941957281902,19.589712891186597
Peña Ranchadero,activa o bueno,INDRHI,hidrométrica,pública,-71.32976611570709,19.65942056709194
Inoa,activa o bueno,INDRHI,hidrométrica,pública,-70.95897185501681,19.32357296695872
Boma,activa o bueno,INDRHI,hidrométrica,pública,-70.662240248888,19.16861321781287
Jinamagao,activa o bueno,INDRHI,hidrométrica,pública,-70.98201886559359,19.54276954331515
Jarabacoa,inactiva o no reportada,INDRHI,hidrométrica,pública,-70.67839965072523,19.083569023435757
Palo verde,inactiva o no reportada,INDRHI,hidrométrica,pública,-71.55546053368113,19.757777231303525
Mata Grande,inactiva o no reportada,INDRHI,hidrométrica,pública,-70.99611455515499,19.19532192244504
Cana Chapetón,inactiva o no reportada,INDRHI,hidrométrica,pública,-71.25967330236736,19.597889452335295
Bejucal,inactiva o no reportada,INDRHI,hidrométrica,pública,-70.73507018005688,19.182457365293
Rincón,inactiva o no reportada,INDRHI,hidrométrica,pública,-71.38662839797276,19.52612651279955
La Antona,inactiva o no reportada,INDRHI,hidrométrica,pública,-71.40288877761951,19.630245132176455
Inaje,inactiva o no reportada,INDRHI,hidrométrica,pública,-71.46926806991084,19.4213532836642
Jicomé,inactiva o no reportada,INDRHI,hidrométrica,pública,-70.94841901869907,19.62801854051002
La Gorra,inactiva o no reportada,INDRHI,hidrométrica,pública,-71.4948241273873,19.51829858302312
Bulla,inactiva o no reportada,INDRHI,hidrométrica,pública,-71.07707226708085,19.4198249654967
Chorrera,inactiva o no reportada,INDRHI,hidrométrica,pública,-71.08481061196363,19.464130619327207
Martínez,inactiva o no reportada,INDRHI,hidrométrica,pública,-71.07953261505956,19.470519610938315
Mata de Jobo,inactiva o no reportada,INDRHI,hidrométrica,pública,-71.33121050702218,19.46496720957291
Manabao,inactiva o no reportada,INDRHI,hidrométrica,pública,-70.78986738758518,19.069727724964583
Paso Bajito,inactiva o no reportada,INDRHI,hidrométrica,pública,-70.66399331442774,19.014946232087855
Bao,inactiva o no reportada,INDRHI,hidrométrica,pública,-70.79702054421045,19.305795009676952
Sabana Iglesia,inactiva o no reportada,INDRHI,hidrométrica,pública,-70.74618506375215,19.314128499975514
El Puente,inactiva o no reportada,INDRHI,hidrométrica,pública,-70.7656335779899,19.452182991386568
Guanajuma,inactiva o no reportada,INDRHI,hidrométrica,pública,-70.74535388046702,19.28107601581934
Jamamú,inactiva o no reportada,INDRHI,hidrométrica,pública,-70.93343700904038,19.1944037142049
Jamamú,inactiva o no reportada,INDRHI,hidrométrica,pública,-70.93343700904038,19.1944037142049
Casa de Máquina,inactiva o no reportada,INDRHI,hidrométrica,pública,-70.59786755205846,19.098921333116557
Hato Viejo,inactiva o no reportada,INDRHI,hidrométrica,pública,-70.63414411178962,19.134741653360464
Pinalito,inactiva o no reportada,INDRHI,hidrométrica,pública,-70.75896717093461,19.295237309294677
Potrero,inactiva o no reportada,INDRHI,hidrométrica,pública,-70.9600807978597,19.46968770987457
Paso de la Perra,inactiva o no reportada,INDRHI,hidrométrica,pública,-70.8396646903739,19.07752170095255
Pinar Quemado,inactiva o no reportada,INDRHI,hidrométrica,pública,-70.6651342741263,19.095018731147203
